Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
172		0.1236		0.3620		0.0000		0.6272		0.00008794
173		0.1293		0.3771		0.0000		0.6218		0.00008521
174		0.1240		0.3737		0.0000		0.6248		0.00008247
175		0.1217		0.4259		0.0000		0.6229		0.00007971
176		0.1210		0.3965		0.0000		0.6265		0.00007695
177		0.1263		0.3500		0.0000		0.6285		0.00007417
178		0.1363		0.3227		0.0000		0.6213		0.00007138
179		0.1225		0.3789		0.0000		0.6209		0.00006858
180		0.1241		0.3834		0.0000		0.6222		0.00006577
181		0.1238		0.3658		0.0000		0.6237		0.00006295
182		0.1203		0.3805		0.0000		0.6250		0.00006011
183		0.1250		0.3844		0.0000		0.6199		0.00005725
184		0.1192		0.4232		0.0000		0.6209		0.00005438
185		0.1180		0.3921		0.0000		0.6263		0.00005149
186		0.1170		0.3848		0.0000		0.6256		0.00004859
187		0.1182		0.3761		0.0000		0.6242		0.00004566
188		0.1190		0.3893		0.0000		0.6221		0.00004272
189		0.1180		0.3889		0.0000		0.6254		0.00003975
190		0.1177		0.3847		0.0000		0.6210		0.00003675
191		0.1174		0.4020		0.0000		0.6193		0.00003373
192		0.1173		0.4007		0.0000		0.6230		0.00003068
193		0.1181		0.3852		0.0000		0.6212		0.00002759
194		0.1191		0.3777		0.0000		0.6225		0.00002447
195		0.1165		0.3997		0.0000		0.6212		0.00002130
196		0.1155		0.3880		0.0000		0.6241		0.00001808
197		0.1160		0.3900		0.0000		0.6237		0.00001479
198		0.1156		0.3918		0.0000		0.6217		0.00001141
199		0.1152		0.3901		0.0000		0.6259		0.00000792
200		0.1145		0.3916		0.0000		0.6235		0.00000425
1		3.4213		3.5283		0.0000		0.0070		0.00050000
2		3.2236		3.2626		0.0000		0.0383		0.00049775
3		3.0804		2.9642		0.0000		0.0962		0.00049550
1		3.3337		3.1728		0.0000		0.0673		0.00050000
2		3.1103		3.0724		0.0000		0.0847		0.00049775
3		2.9713		2.8450		0.0000		0.0925		0.00049550
4		2.8262		2.7092		0.0000		0.1197		0.00049324
5		2.6881		2.6232		0.0000		0.1008		0.00049099
6		2.5619		2.4073		0.0000		0.1311		0.00048874
7		2.4330		2.2519		0.0000		0.1422		0.00048648
8		2.2965		2.1259		0.0000		0.1613		0.00048422
9		2.1956		2.1028		0.0000		0.1534		0.00048196
10		2.0694		1.8620		0.0000		0.1733		0.00047970
11		1.9436		1.7939		0.0000		0.1777		0.00047744
12		1.8674		1.6493		0.0000		0.1743		0.00047518
13		1.7950		1.5986		0.0000		0.1866		0.00047292
14		1.6853		1.4788		0.0000		0.1864		0.00047065
15		1.6292		1.5089		0.0000		0.1922		0.00046839
16		1.5331		1.3614		0.0000		0.1922		0.00046612
17		1.4608		1.3230		0.0000		0.2043		0.00046385
18		1.4308		1.2513		0.0000		0.1940		0.00046158
19		1.3716		1.2748		0.0000		0.2083		0.00045931
20		1.3260		1.2146		0.0000		0.2228		0.00045704
21		1.2724		1.1340		0.0000		0.2238		0.00045477
22		1.2549		1.2048		0.0000		0.2355		0.00045249
23		1.1905		1.0591		0.0000		0.2637		0.00045022
24		1.1468		1.0018		0.0000		0.2579		0.00044794
25		1.0982		0.9588		0.0000		0.2748		0.00044566
26		1.0767		0.9730		0.0000		0.2663		0.00044338
27		1.0221		0.9111		0.0000		0.2824		0.00044110
28		0.9883		0.8851		0.0000		0.2848		0.00043882
