Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
70		0.2998		0.6291		0.0000		0.5107		0.00034165
71		0.2874		0.5690		0.0000		0.5009		0.00033931
72		0.2982		0.7137		0.0000		0.5055		0.00033696
73		0.2802		0.4998		0.0000		0.5103		0.00033460
74		0.2678		0.4405		0.0000		0.5156		0.00033225
75		0.2606		0.5397		0.0000		0.5141		0.00032990
76		0.2547		0.4631		0.0000		0.5241		0.00032754
77		0.2568		0.5137		0.0000		0.5234		0.00032518
78		0.2486		0.5021		0.0000		0.5191		0.00032282
79		0.2416		0.4984		0.0000		0.5176		0.00032045
80		0.2350		0.5118		0.0000		0.5302		0.00031809
81		0.2468		0.5233		0.0000		0.5339		0.00031572
82		0.2440		0.4997		0.0000		0.5143		0.00031335
83		0.2623		0.5123		0.0000		0.5147		0.00031098
84		0.2454		0.6761		0.0000		0.5289		0.00030861
85		0.3194		0.5073		0.0000		0.5186		0.00030624
86		0.2606		0.4524		0.0000		0.5225		0.00030386
87		0.2459		0.6152		0.0000		0.5219		0.00030148
88		0.3356		0.4587		0.0000		0.5087		0.00029910
89		0.2640		0.4957		0.0000		0.5260		0.00029671
90		0.2424		0.5603		0.0000		0.5158		0.00029433
91		0.2454		0.5212		0.0000		0.5282		0.00029194
92		0.2295		0.5127		0.0000		0.5321		0.00028955
93		0.2272		0.5839		0.0000		0.5299		0.00028716
94		0.2210		0.4815		0.0000		0.5277		0.00028477
95		0.2155		0.4753		0.0000		0.5326		0.00028237
96		0.2169		0.5549		0.0000		0.5323		0.00027997
97		0.2133		0.5245		0.0000		0.5436		0.00027757
98		0.2097		0.5109		0.0000		0.5315		0.00027517
99		0.2130		0.5255		0.0000		0.5337		0.00027276
100		0.2087		0.6067		0.0000		0.5246		0.00027035
101		0.1967		0.5310		0.0000		0.5313		0.00026794
102		0.1984		0.6269		0.0000		0.5418		0.00026553
103		0.2054		0.6682		0.0000		0.5372		0.00026312
104		0.2071		0.5684		0.0000		0.5333		0.00026070
105		0.2008		0.5000		0.0000		0.5458		0.00025828
106		0.2032		0.5723		0.0000		0.5264		0.00025586
107		0.2283		0.6503		0.0000		0.5356		0.00025343
108		0.1984		0.5559		0.0000		0.5363		0.00025100
109		0.1931		0.5985		0.0000		0.5392		0.00024857
110		0.1958		0.5392		0.0000		0.5400		0.00024614
111		0.1883		0.5550		0.0000		0.5401		0.00024370
112		0.1825		0.5333		0.0000		0.5453		0.00024126
113		0.1852		0.5412		0.0000		0.5393		0.00023882
114		0.1904		0.5149		0.0000		0.5415		0.00023638
115		0.2007		0.5551		0.0000		0.5428		0.00023393
116		0.1983		0.4820		0.0000		0.5411		0.00023148
117		0.1968		0.4905		0.0000		0.5413		0.00022903
118		0.1863		0.5608		0.0000		0.5410		0.00022658
119		0.1874		0.5820		0.0000		0.5478		0.00022412
120		0.1783		0.5060		0.0000		0.5395		0.00022166
121		0.1741		0.5050		0.0000		0.5523		0.00021919
122		0.1770		0.5740		0.0000		0.5449		0.00021672
123		0.1699		0.5891		0.0000		0.5520		0.00021425
124		0.1690		0.5335		0.0000		0.5456		0.00021178
125		0.1671		0.5285		0.0000		0.5493		0.00020930
126		0.1642		0.5905		0.0000		0.5496		0.00020682
127		0.1677		0.5300		0.0000		0.5506		0.00020434
128		0.1760		0.6011		0.0000		0.5476		0.00020185
129		0.1880		0.5239		0.0000		0.5476		0.00019936
130		0.1712		0.6152		0.0000		0.5439		0.00019687
131		0.1734		0.5445		0.0000		0.5559		0.00019437
132		0.1717		0.5206		0.0000		0.5475		0.00019187
133		0.1647		0.5976		0.0000		0.5515		0.00018937
134		0.1618		0.5588		0.0000		0.5511		0.00018686
135		0.1567		0.5013		0.0000		0.5490		0.00018435
136		0.1559		0.6202		0.0000		0.5535		0.00018183
137		0.1598		0.5305		0.0000		0.5504		0.00017931
138		0.1588		0.5847		0.0000		0.5543		0.00017679
139		0.1546		0.6207		0.0000		0.5483		0.00017426
140		0.1497		0.5959		0.0000		0.5518		0.00017173
141		0.1554		0.5771		0.0000		0.5613		0.00016919
142		0.1496		0.5794		0.0000		0.5578		0.00016665
143		0.1539		0.5666		0.0000		0.5604		0.00016411
144		0.1542		0.5873		0.0000		0.5588		0.00016156
145		0.1516		0.5939		0.0000		0.5566		0.00015901
146		0.1476		0.5518		0.0000		0.5570		0.00015645
147		0.1461		0.5607		0.0000		0.5476		0.00015389
148		0.1511		0.6144		0.0000		0.5595		0.00015132
149		0.1456		0.5762		0.0000		0.5620		0.00014875
150		0.1460		0.6059		0.0000		0.5626		0.00014617
151		0.1484		0.6434		0.0000		0.5579		0.00014359
152		0.1529		0.6188		0.0000		0.5447		0.00014100
153		0.1448		0.5916		0.0000		0.5553		0.00013841
154		0.1401		0.5403		0.0000		0.5534		0.00013581
155		0.1599		0.5812		0.0000		0.5636		0.00013321
156		0.1761		0.6056		0.0000		0.5412		0.00013060
157		0.1463		0.6298		0.0000		0.5526		0.00012798
158		0.1420		0.6303		0.0000		0.5528		0.00012536
159		0.1419		0.5605		0.0000		0.5544		0.00012273
160		0.1390		0.5980		0.0000		0.5608		0.00012010
161		0.1332		0.5761		0.0000		0.5608		0.00011746
162		0.1359		0.5665		0.0000		0.5638		0.00011482
163		0.1332		0.5952		0.0000		0.5681		0.00011216
164		0.1356		0.6017		0.0000		0.5663		0.00010950
165		0.1352		0.6401		0.0000		0.5662		0.00010684
166		0.1332		0.5912		0.0000		0.5749		0.00010416
167		0.1342		0.5962		0.0000		0.5678		0.00010148
168		0.1262		0.6583		0.0000		0.5621		0.00009879
169		0.1304		0.5836		0.0000		0.5638		0.00009609
170		0.1288		0.6007		0.0000		0.5614		0.00009338
171		0.1259		0.5777		0.0000		0.5627		0.00009067
172		0.1282		0.6038		0.0000		0.5641		0.00008794
173		0.1279		0.6079		0.0000		0.5656		0.00008521
174		0.1221		0.6499		0.0000		0.5632		0.00008247
175		0.1247		0.6140		0.0000		0.5689		0.00007971
176		0.1232		0.6207		0.0000		0.5658		0.00007695
177		0.1232		0.6311		0.0000		0.5701		0.00007417
178		0.1239		0.6381		0.0000		0.5640		0.00007138
179		0.1242		0.6549		0.0000		0.5661		0.00006858
180		0.1234		0.6752		0.0000		0.5618		0.00006577
181		0.1268		0.6247		0.0000		0.5649		0.00006295
182		0.1171		0.6270		0.0000		0.5654		0.00006011
183		0.1188		0.6259		0.0000		0.5651		0.00005725
184		0.1198		0.6421		0.0000		0.5610		0.00005438
185		0.1201		0.6691		0.0000		0.5661		0.00005149
186		0.1240		0.6265		0.0000		0.5736		0.00004859
187		0.1207		0.6552		0.0000		0.5674		0.00004566
188		0.1257		0.6002		0.0000		0.5636		0.00004272
189		0.1195		0.6138		0.0000		0.5641		0.00003975
190		0.1264		0.5983		0.0000		0.5641		0.00003675
191		0.1223		0.6412		0.0000		0.5637		0.00003373
192		0.1194		0.6513		0.0000		0.5617		0.00003068
193		0.1155		0.6101		0.0000		0.5660		0.00002759
194		0.1128		0.6210		0.0000		0.5657		0.00002447
195		0.1159		0.6180		0.0000		0.5688		0.00002130
196		0.1205		0.6025		0.0000		0.5689		0.00001808
197		0.1156		0.6265		0.0000		0.5622		0.00001479
198		0.1160		0.6244		0.0000		0.5693		0.00001141
199		0.1144		0.5990		0.0000		0.5667		0.00000792
200		0.1120		0.6387		0.0000		0.5717		0.00000425
1		3.1139		3.3429		0.0000		0.0000		0.00050000
2		2.4909		2.6011		0.0000		0.0000		0.00049775
3		2.2259		2.3608		0.0000		0.0000		0.00049550
4		2.0732		2.3942		0.0000		0.0000		0.00049324
5		1.9820		2.1264		0.0000		0.0000		0.00049099
1		1.6566		1.5774		0.0000		0.2375		0.00050000
1		1.6811		1.7098		0.0000		0.1961		0.00050000
2		1.1897		1.1391		0.0000		0.3578		0.00049775
1		1.6306		1.5915		0.0000		0.2449		0.00050000
1		3.2514		3.3860		0.0000		0.0083		0.00050000
2		2.5313		2.9632		0.0000		0.0129		0.00049775
3		2.2221		2.2996		0.0000		0.0622		0.00049550
4		2.0872		1.9383		0.0000		0.0933		0.00049324
5		1.9881		1.8670		0.0000		0.0966		0.00049099
6		1.9054		1.8268		0.0000		0.1022		0.00048874
7		1.8492		1.7219		0.0000		0.1115		0.00048648
1		3.2877		3.4189		0.0000		0.0040		0.00050000
2		2.5103		2.9427		0.0000		0.0240		0.00049775
3		2.2211		2.2025		0.0000		0.0774		0.00049550
4		2.0453		1.9329		0.0000		0.0937		0.00049324
5		1.9197		1.8444		0.0000		0.1001		0.00049099
6		1.8865		1.7114		0.0000		0.1095		0.00048874
7		1.8296		1.8292		0.0000		0.0997		0.00048648
8		1.7178		1.6063		0.0000		0.1199		0.00048422
9		1.6515		1.5564		0.0000		0.1495		0.00048196
10		1.6053		1.4660		0.0000		0.1537		0.00047970
11		1.5795		1.4602		0.0000		0.1645		0.00047744
1		3.1254		3.2837		0.0000		0.0078		0.00050000
2		2.5092		2.8746		0.0000		0.0117		0.00049775
3		2.2286		2.0218		0.0000		0.0837		0.00049550
4		2.0180		1.9659		0.0000		0.0875		0.00049324
5		1.9257		1.7831		0.0000		0.1021		0.00049099
6		1.8354		2.0554		0.0000		0.0771		0.00048874
7		1.7698		1.6354		0.0000		0.1171		0.00048648
8		1.7174		1.5471		0.0000		0.1458		0.00048422
9		1.6763		1.4918		0.0000		0.1587		0.00048196
10		1.5823		1.4179		0.0000		0.1659		0.00047970
11		1.5201		1.3709		0.0000		0.1630		0.00047744
12		1.5114		1.3870		0.0000		0.1682		0.00047518
13		1.4281		1.2806		0.0000		0.1839		0.00047292
14		1.4223		1.2102		0.0000		0.1962		0.00047065
15		1.3881		1.3195		0.0000		0.1772		0.00046839
16		1.3418		1.1983		0.0000		0.1909		0.00046612
17		1.3200		1.1833		0.0000		0.1897		0.00046385
